Acres,InpID,LocationID,CommType,Lon_DD,Lat_DD
2.83447920017,68,HOME_InvPla_68,F,96.839536┬░ W,40.285279┬░ N
1.99999962215,53,HOME_InvPla_53,F,96.839504┬░ W,40.286258┬░ N
2.00002238672,39,HOME_InvPla_39,F,96.839478┬░ W,40.287068┬░ N
2.14256432916,25,HOME_InvPla_25,F,96.839449┬░ W,40.287907┬░ N
2.02494367480,69,HOME_InvPla_69,F,96.838607┬░ W,40.285333┬░ N
1.99883082187,54,HOME_InvPla_54,F,96.838446┬░ W,40.286238┬░ N
1.31920050041,55,HOME_InvPla_55,P,96.837242┬░ W,40.286105┬░ N
1.99999962221,40,HOME_InvPla_40,F,96.838420┬░ W,40.287048┬░ N
2.18358342263,26,HOME_InvPla_26,F,96.838392┬░ W,40.287895┬░ N
2.78014517021,41,HOME_InvPla_41,F,96.837420┬░ W,40.286855┬░ N
2.21943043773,27,HOME_InvPla_27,F,96.837334┬░ W,40.287883┬░ N
1.81241594052,12,HOME_InvPla_12,F,96.836178┬░ W,40.289439┬░ N
2.23120253398,5,HOME_InvPla_5,F,96.836132┬░ W,40.290338┬░ N
2.69922629075,72,HOME_InvPla_72,P,96.836362┬░ W,40.285247┬░ N
2.03584410241,42,HOME_InvPla_42,F,96.836423┬░ W,40.286928┬░ N
1.86612463553,56,HOME_InvPla_56,P,96.836177┬░ W,40.286270┬░ N
1.99997685795,28,HOME_InvPla_28,F,96.836279┬░ W,40.287818┬░ N
1.79151589564,17,HOME_InvPla_17,F,96.836199┬░ W,40.288623┬░ N
2.66130471711,73,HOME_InvPla_73,P,96.835305┬░ W,40.285235┬░ N
1.99999962215,57,HOME_InvPla_57,P,96.835273┬░ W,40.286179┬░ N
2.14892597408,29,HOME_InvPla_29,F,96.835320┬░ W,40.287723┬░ N
1.61742079655,43,HOME_InvPla_43,P,96.835175┬░ W,40.286932┬░ N
2.20914972293,30,HOME_InvPla_30,P,96.834238┬░ W,40.287759┬░ N
2.00353793698,18,HOME_InvPla_18,F,96.835194┬░ W,40.288605┬░ N
2.71609121975,6,HOME_InvPla_6,F,96.834951┬░ W,40.290233┬░ N
2.32527217283,1,HOME_InvPla_1,F,96.835081┬░ W,40.291112┬░ N
2.61777634853,74,HOME_InvPla_74,P,96.834247┬░ W,40.285224┬░ N
2.30400928623,58,HOME_InvPla_58,P,96.834135┬░ W,40.286153┬░ N
