ParkName,ParkCode,LocationID,Lat_DD,Lon_DD,PeriodID,SampleYear,Species,CoverClass,MidRange
Effigy Mounds National Monument,EFMO,EFMO_InvPla_113,43.09,-91.20,EFMOInvPla2022Jul5,2022,ALPE4,1,0.50
Effigy Mounds National Monument,EFMO,EFMO_InvPla_114,43.09,-91.20,EFMOInvPla2022Jul5,2022,LYNU,2,5.00
Effigy Mounds National Monument,EFMO,EFMO_InvPla_114,43.09,-91.20,EFMOInvPla2022Jul5,2022,PHAR3,4,75.00
Effigy Mounds National Monument,EFMO,EFMO_InvPla_115,43.09,-91.19,EFMOInvPla2022Jul5,2022,PHAR3,5,300.00
Effigy Mounds National Monument,EFMO,EFMO_InvPla_115,43.09,-91.19,EFMOInvPla2022Jul5,2022,LYNU,3,30.00
Effigy Mounds National Monument,EFMO,EFMO_InvPla_116,43.09,-91.19,EFMOInvPla2022Jul5,2022,PHAR3,4,75.00
Effigy Mounds National Monument,EFMO,EFMO_InvPla_116,43.09,-91.19,EFMOInvPla2022Jul5,2022,LYNU,2,5.00
Effigy Mounds National Monument,EFMO,EFMO_InvPla_117,43.09,-91.19,EFMOInvPla2022Jul5,2022,ALPE4,2,5.00
Effigy Mounds National Monument,EFMO,EFMO_InvPla_117,43.09,-91.19,EFMOInvPla2022Jul5,2022,VETH,1,0.50
Effigy Mounds National Monument,EFMO,EFMO_InvPla_117,43.09,-91.19,EFMOInvPla2022Jul5,2022,LYNU,2,5.00
Effigy Mounds National Monument,EFMO,EFMO_InvPla_117,43.09,-91.19,EFMOInvPla2022Jul5,2022,ROMU,1,0.50
Effigy Mounds National Monument,EFMO,EFMO_InvPla_117,43.09,-91.19,EFMOInvPla2022Jul5,2022,PASA3,1,0.50
Effigy Mounds National Monument,EFMO,EFMO_InvPla_117,43.09,-91.19,EFMOInvPla2022Jul5,2022,DACA6,1,0.50
Effigy Mounds National Monument,EFMO,EFMO_InvPla_118,43.09,-91.19,EFMOInvPla2022Jul5,2022,ALPE4,3,30.00
Effigy Mounds National Monument,EFMO,EFMO_InvPla_118,43.09,-91.19,EFMOInvPla2022Jul5,2022,CIAR4,1,0.50
Effigy Mounds National Monument,EFMO,EFMO_InvPla_118,43.09,-91.19,EFMOInvPla2022Jul5,2022,LOMA6,2,5.00
Effigy Mounds National Monument,EFMO,EFMO_InvPla_119,43.09,-91.18,EFMOInvPla2022Jul5,2022,ALPE4,2,5.00
Effigy Mounds National Monument,EFMO,EFMO_InvPla_119,43.09,-91.18,EFMOInvPla2022Jul5,2022,CIVU,1,0.50
Effigy Mounds National Monument,EFMO,EFMO_InvPla_12,43.10,-91.17,EFMOInvPla2022Jul5,2022,LOMA6,3,30.00
Effigy Mounds National Monument,EFMO,EFMO_InvPla_120,43.09,-91.18,EFMOInvPla2022Jul5,2022,ALPE4,2,5.00
Effigy Mounds National Monument,EFMO,EFMO_InvPla_124,43.09,-91.23,EFMOInvPla2022Jul5,2022,ROMU,1,0.50
Effigy Mounds National Monument,EFMO,EFMO_InvPla_124,43.09,-91.23,EFMOInvPla2022Jul5,2022,ALPE4,1,0.50
Effigy Mounds National Monument,EFMO,EFMO_InvPla_125,43.09,-91.23,EFMOInvPla2022Jul5,2022,ALPE4,4,75.00
Effigy Mounds National Monument,EFMO,EFMO_InvPla_125,43.09,-91.23,EFMOInvPla2022Jul5,2022,LOMA6,1,0.50
Effigy Mounds National Monument,EFMO,EFMO_InvPla_125,43.09,-91.23,EFMOInvPla2022Jul5,2022,ROMU,1,0.50
Effigy Mounds National Monument,EFMO,EFMO_InvPla_127,43.09,-91.22,EFMOInvPla2022Jul5,2022,ALPE4,1,0.50
Effigy Mounds National Monument,EFMO,EFMO_InvPla_128,43.09,-91.22,EFMOInvPla2022Jul5,2022,LOMA6,1,0.50
Effigy Mounds National Monument,EFMO,EFMO_InvPla_128,43.09,-91.22,EFMOInvPla2022Jul5,2022,ALPE4,1,0.50
Effigy Mounds National Monument,EFMO,EFMO_InvPla_129,43.09,-91.22,EFMOInvPla2022Jul5,2022,ALPE4,1,0.50
Effigy Mounds National Monument,EFMO,EFMO_InvPla_129,43.09,-91.22,EFMOInvPla2022Jul5,2022,ROMU,1,0.50
Effigy Mounds National Monument,EFMO,EFMO_InvPla_130,43.09,-91.21,EFMOInvPla2022Jul5,2022,PHAR3,2,5.00
Effigy Mounds National Monument,EFMO,EFMO_InvPla_130,43.09,-91.21,EFMOInvPla2022Jul5,2022,ROMU,1,0.50
Effigy Mounds National Monument,EFMO,EFMO_InvPla_130,43.09,-91.21,EFMOInvPla2022Jul5,2022,ALPE4,3,30.00
Effigy Mounds National Monument,EFMO,EFMO_InvPla_131,43.09,-91.21,EFMOInvPla2022Jul5,2022,ALPE4,2,5.00
Effigy Mounds National Monument,EFMO,EFMO_InvPla_131,43.09,-91.21,EFMOInvPla2022Jul5,2022,PASA2,2,5.00
Effigy Mounds National Monument,EFMO,EFMO_InvPla_131,43.09,-91.21,EFMOInvPla2022Jul5,2022,ROMU,3,30.00
Effigy Mounds National Monument,EFMO,EFMO_InvPla_131,43.09,-91.21,EFMOInvPla2022Jul5,2022,PHAR3,6,750.00
Effigy Mounds National Monument,EFMO,EFMO_InvPla_132,43.09,-91.21,EFMOInvPla2022Jul5,2022,PHAR3,7,3000.00
Effigy Mounds National Monument,EFMO,EFMO_InvPla_133,43.09,-91.21,EFMOInvPla2022Jul5,2022,GLHE2,3,30.00
Effigy Mounds National Monument,EFMO,EFMO_InvPla_133,43.09,-91.21,EFMOInvPla2022Jul5,2022,PHAR3,7,3000.00
Effigy Mounds National Monument,EFMO,EFMO_InvPla_133,43.09,-91.21,EFMOInvPla2022Jul5,2022,LYNU,1,0.50
Effigy Mounds National Monument,EFMO,EFMO_InvPla_134,43.09,-91.20,EFMOInvPla2022Jul5,2022,PHAR3,5,300.00
Effigy Mounds National Monument,EFMO,EFMO_InvPla_134,43.09,-91.20,EFMOInvPla2022Jul5,2022,LYNU,4,75.00
Effigy Mounds National Monument,EFMO,EFMO_InvPla_134,43.09,-91.20,EFMOInvPla2022Jul5,2022,GLHE2,3,30.00
Effigy Mounds National Monument,EFMO,EFMO_InvPla_134,43.09,-91.20,EFMOInvPla2022Jul5,2022,ALPE4,2,5.00
Effigy Mounds National Monument,EFMO,EFMO_InvPla_135,43.09,-91.20,EFMOInvPla2022Jul5,2022,ALPE4,1,0.50
Effigy Mounds National Monument,EFMO,EFMO_InvPla_135,43.09,-91.20,EFMOInvPla2022Jul5,2022,GLHE2,1,0.50
Effigy Mounds National Monument,EFMO,EFMO_InvPla_135,43.09,-91.20,EFMOInvPla2022Jul5,2022,ROMU,2,5.00
Effigy Mounds National Monument,EFMO,EFMO_InvPla_135,43.09,-91.20,EFMOInvPla2022Jul5,2022,LOMA6,3,30.00
Effigy Mounds National Monument,EFMO,EFMO_InvPla_135,43.09,-91.20,EFMOInvPla2022Jul5,2022,PHAR3,3,30.00
