ParkName,ParkCode,LocationID,PeriodID,CommonName,ScientificName,CoverClass,MidRange
Pea Ridge National Military Park,PERI,PERI_InvPla_39,PERIInvPla2021Aug16,eastern redcedar,Juniperus virginiana,3,30
Pea Ridge National Military Park,PERI,PERI_InvPla_39,PERIInvPla2021Aug16,sericea lespedeza,Lespedeza cuneata,1,0.5
Pea Ridge National Military Park,PERI,PERI_InvPla_40,PERIInvPla2021Aug16,Queen Anne's lace,Daucus carota,2,5
Pea Ridge National Military Park,PERI,PERI_InvPla_40,PERIInvPla2021Aug16,sericea lespedeza,Lespedeza cuneata,5,300
Pea Ridge National Military Park,PERI,PERI_InvPla_40,PERIInvPla2021Aug16,Kentucky bluegrass,Poa pratensis,1,0.5
Pea Ridge National Military Park,PERI,PERI_InvPla_40,PERIInvPla2021Aug16,winged sumac,Rhus copallinum,5,300
Pea Ridge National Military Park,PERI,PERI_InvPla_40,PERIInvPla2021Aug16,multiflora rose,Rosa multiflora,2,5
Pea Ridge National Military Park,PERI,PERI_InvPla_40,PERIInvPla2021Aug16,tall fescue,Schedonorus arundinaceus,1,0.5
Pea Ridge National Military Park,PERI,PERI_InvPla_40,PERIInvPla2021Aug16,black locust,Robinia pseudoacacia,1,0.5
Pea Ridge National Military Park,PERI,PERI_InvPla_46,PERIInvPla2021Aug16,sericea lespedeza,Lespedeza cuneata,2,5
Pea Ridge National Military Park,PERI,PERI_InvPla_46,PERIInvPla2021Aug16,Japanese honeysuckle,Lonicera japonica,3,30
Pea Ridge National Military Park,PERI,PERI_InvPla_46,PERIInvPla2021Aug16,multiflora rose,Rosa multiflora,2,5
Pea Ridge National Military Park,PERI,PERI_InvPla_19,PERIInvPla2021Aug16,eastern redcedar,Juniperus virginiana,1,0.5
Pea Ridge National Military Park,PERI,PERI_InvPla_27,PERIInvPla2021Aug16,eastern redcedar,Juniperus virginiana,3,30
Pea Ridge National Military Park,PERI,PERI_InvPla_27,PERIInvPla2021Aug16,sericea lespedeza,Lespedeza cuneata,1,0.5
Pea Ridge National Military Park,PERI,PERI_InvPla_27,PERIInvPla2021Aug16,common mullein,Verbascum thapsus,2,5
Pea Ridge National Military Park,PERI,PERI_InvPla_28,PERIInvPla2021Aug16,eastern redcedar,Juniperus virginiana,2,5
Pea Ridge National Military Park,PERI,PERI_InvPla_28,PERIInvPla2021Aug16,sericea lespedeza,Lespedeza cuneata,5,300
Pea Ridge National Military Park,PERI,PERI_InvPla_28,PERIInvPla2021Aug16,Kentucky bluegrass,Poa pratensis,3,30
Pea Ridge National Military Park,PERI,PERI_InvPla_28,PERIInvPla2021Aug16,nodding plumeless thistle,Carduus nutans,1,0.5
Pea Ridge National Military Park,PERI,PERI_InvPla_29,PERIInvPla2021Aug16,eastern redcedar,Juniperus virginiana,2,5
Pea Ridge National Military Park,PERI,PERI_InvPla_29,PERIInvPla2021Aug16,Nepalese browntop. Japanese stiltgrass,Microstegium vimineum,1,0.5
Pea Ridge National Military Park,PERI,PERI_InvPla_29,PERIInvPla2021Aug16,privet sp.,Ligustrum,1,0.5
Pea Ridge National Military Park,PERI,PERI_InvPla_30,PERIInvPla2021Aug16,eastern redcedar,Juniperus virginiana,5,300
Pea Ridge National Military Park,PERI,PERI_InvPla_31,PERIInvPla2021Aug16,eastern redcedar,Juniperus virginiana,1,0.5
Pea Ridge National Military Park,PERI,PERI_InvPla_31,PERIInvPla2021Aug16,Nepalese browntop. Japanese stiltgrass,Microstegium vimineum,3,30
Pea Ridge National Military Park,PERI,PERI_InvPla_68,PERIInvPla2021Aug16,Nepalese browntop. Japanese stiltgrass,Microstegium vimineum,4,75
Pea Ridge National Military Park,PERI,PERI_InvPla_68,PERIInvPla2021Aug16,multiflora rose,Rosa multiflora,1,0.5
Pea Ridge National Military Park,PERI,PERI_InvPla_69,PERIInvPla2021Aug16,smooth brome,Bromus inermis,1,0.5
Pea Ridge National Military Park,PERI,PERI_InvPla_69,PERIInvPla2021Aug16,eastern redcedar,Juniperus virginiana,3,30
Pea Ridge National Military Park,PERI,PERI_InvPla_69,PERIInvPla2021Aug16,Nepalese browntop. Japanese stiltgrass,Microstegium vimineum,3,30
Pea Ridge National Military Park,PERI,PERI_InvPla_69,PERIInvPla2021Aug16,multiflora rose,Rosa multiflora,2,5
Pea Ridge National Military Park,PERI,PERI_InvPla_69,PERIInvPla2021Aug16,tall fescue,Schedonorus arundinaceus,3,30
Pea Ridge National Military Park,PERI,PERI_InvPla_69,PERIInvPla2021Aug16,privet sp.,Ligustrum,1,0.5
Pea Ridge National Military Park,PERI,PERI_InvPla_69,PERIInvPla2021Aug16,Callery pear,Pyrus calleryana,1,0.5
Pea Ridge National Military Park,PERI,PERI_InvPla_69,PERIInvPla2021Aug16,Japanese honeysuckle,Lonicera japonica,1,0.5
Pea Ridge National Military Park,PERI,PERI_InvPla_69,PERIInvPla2021Aug16,Kentucky bluegrass,Poa pratensis,2,5
Pea Ridge National Military Park,PERI,PERI_InvPla_70,PERIInvPla2021Aug16,sericea lespedeza,Lespedeza cuneata,3,30
Pea Ridge National Military Park,PERI,PERI_InvPla_70,PERIInvPla2021Aug16,Nepalese browntop. Japanese stiltgrass,Microstegium vimineum,6,750
Pea Ridge National Military Park,PERI,PERI_InvPla_70,PERIInvPla2021Aug16,multiflora rose,Rosa multiflora,1,0.5
Pea Ridge National Military Park,PERI,PERI_InvPla_70,PERIInvPla2021Aug16,tall fescue,Schedonorus arundinaceus,3,30
Pea Ridge National Military Park,PERI,PERI_InvPla_70,PERIInvPla2021Aug16,common mullein,Verbascum thapsus,1,0.5
Pea Ridge National Military Park,PERI,PERI_InvPla_70,PERIInvPla2021Aug16,Japanese honeysuckle,Lonicera japonica,1,0.5
Pea Ridge National Military Park,PERI,PERI_InvPla_70,PERIInvPla2021Aug16,Queen Anne's lace,Daucus carota,1,0.5
Pea Ridge National Military Park,PERI,PERI_InvPla_70,PERIInvPla2021Aug16,Bermudagrass,Cynodon dactylon,2,5
Pea Ridge National Military Park,PERI,PERI_InvPla_71,PERIInvPla2021Aug16,bald brome. spiked brome,Bromus racemosus,1,0.5
