InpID,Easting,Northing,Acres,LocationID,Lon_DD,Lat_DD
1,647862.892605948,4774569.06623577,4.62740853960,EFMO_InvPla_1,-91.182709,43.109424
2,648043.694228789,4774556.44113529,5.07759441568,EFMO_InvPla_2,-91.180492,43.109275
3,647501.930028144,4774476.17863529,3.83987038482,EFMO_InvPla_3,-91.187169,43.108658
4,647639.084852275,4774450.88608217,9.88704423119,EFMO_InvPla_4,-91.185490,43.108404
5,647837.298268217,4774424.00501439,9.87502947607,EFMO_InvPla_5,-91.183063,43.108123
6,648034.961030102,4774396.68730214,9.82843476375,EFMO_InvPla_6,-91.180642,43.107838
8,647492.244082254,4774285.48937473,2.11924261978,EFMO_InvPla_8,-91.187338,43.106943
9,647612.196392537,4774252.61390539,9.88746393822,EFMO_InvPla_9,-91.185873,43.106625
10,647810.326733476,4774225.74497224,9.89954130646,EFMO_InvPla_10,-91.183447,43.106344
11,648008.5,4774198.75,9.90100067186,EFMO_InvPla_11,-91.181020,43.106063
12,648162.37029627,4774167.11019541,5.42414039348,EFMO_InvPla_12,-91.179138,43.105749
13,647586.374068112,4774055.1202744,9.77063628442,EFMO_InvPla_13,-91.186243,43.104852
14,647783.375,4774027.5,9.87637081796,EFMO_InvPla_14,-91.183831,43.104565
15,647981.5625,4774000.5,9.87648471589,EFMO_InvPla_15,-91.181403,43.104284
16,648144.900469381,4773983.22460836,6.29286780216,EFMO_InvPla_16,-91.179403,43.104094
17,647584.695509051,4773877.4113505,6.14101876814,EFMO_InvPla_17,-91.186312,43.103254
18,647756.383122705,4773829.39111291,9.88569900124,EFMO_InvPla_18,-91.184215,43.102788
19,647954.59375,4773802.5,9.87678073324,EFMO_InvPla_19,-91.181787,43.102507
20,648103.661271001,4773782.71460439,4.96894210900,EFMO_InvPla_20,-91.179962,43.102300
21,647560.67097002,4773643.06365419,6.27162101331,EFMO_InvPla_21,-91.186668,43.101149
22,647729.491877295,4773631.10888709,9.88575593460,EFMO_InvPla_22,-91.184598,43.101008
23,647927.625,4773604.25,9.90088658413,EFMO_InvPla_23,-91.182172,43.100728
24,648088.346348327,4773575.51573738,6.15750855259,EFMO_InvPla_24,-91.180205,43.100438
25,645719.116733207,4773658.09236836,5.47442868589,EFMO_InvPla_25,-91.209284,43.101640
26,645918.309721331,4773645.21862346,6.87643173236,EFMO_InvPla_26,-91.206841,43.101486
27,646117.830358559,4773632.46988089,8.29483390054,EFMO_InvPla_27,-91.204393,43.101333
31,647540.216660931,4773457.47064879,6.31937110163,EFMO_InvPla_31,-91.186969,43.099482
32,647702.5,4773433,9.87642775093,EFMO_InvPla_32,-91.184982,43.099230
33,647900.6875,4773406,9.87642775089,EFMO_InvPla_33,-91.182555,43.098949
34,648090.591948042,4773375.46691327,9.05502907295,EFMO_InvPla_34,-91.180231,43.098637
35,645169.172652966,4773585.05926515,2.96020406707,EFMO_InvPla_35,-91.216058,43.101088
36,645297.4375,4773558.25,9.90094370679,EFMO_InvPla_36,-91.214489,43.100823
37,645495.584852275,4773531.38608217,9.88700086728,EFMO_InvPla_37,-91.212063,43.100543
38,645693.8125,4773504.5,9.87641415021,EFMO_InvPla_38,-91.209635,43.100263
39,645891.985768217,4773477.50501439,9.87512970973,EFMO_InvPla_39,-91.207208,43.099982
40,646090.139231783,4773450.49498561,9.87507274525,EFMO_InvPla_40,-91.204781,43.099700
41,646288.3125,4773423.5,9.87637081793,EFMO_InvPla_41,-91.202354,43.099419
42,646486.5,4773396.5,9.87642775089,EFMO_InvPla_42,-91.199927,43.099138
43,646663.272818677,4773368.743807,7.75545342371,EFMO_InvPla_43,-91.197763,43.098854
44,647485.94662207,4773252.03475979,8.71194526616,EFMO_InvPla_44,-91.187690,43.097644
45,647675.522352275,4773234.88608217,9.88694390271,EFMO_InvPla_45,-91.185366,43.097452
46,647873.735768217,4773208.00501439,9.87512967811,EFMO_InvPla_46,-91.182939,43.097172
47,648071.90625,4773181,9.87679439706,EFMO_InvPla_47,-91.180512,43.096890
49,645270.496251655,4773360.00116103,9.87687300087,EFMO_InvPla_49,-91.214872,43.099043
50,645468.713399604,4773333.11893444,9.88565557405,EFMO_InvPla_50,-91.212445,43.098763
51,645666.84375,4773306.25,9.90126683095,EFMO_InvPla_51,-91.210018,43.098483
52,645865.014233476,4773279.24497224,9.89965541013,EFMO_InvPla_52,-91.207591,43.098202
53,646063.1875,4773252.25,9.90088658416,EFMO_InvPla_53,-91.205164,43.097921
54,646261.334852275,4773225.38608217,9.88700086730,EFMO_InvPla_54,-91.202738,43.097641
55,646459.5625,4773198.5,9.87641415022,EFMO_InvPla_55,-91.200310,43.097361
56,646653.163210645,4773169.715321,9.43844981679,EFMO_InvPla_56,-91.197940,43.097064
57,647099.254002587,4773070.49910834,3.16452137455,EFMO_InvPla_57,-91.192487,43.096085
58,647256.123378479,4773084.48823598,9.25831375167,EFMO_InvPla_58,-91.190557,43.096180
59,647450.4375,4773063.5,9.87641415029,EFMO_InvPla_59,-91.188176,43.095954
60,647648.650899604,4773036.61893444,9.88569900117,EFMO_InvPla_60,-91.185749,43.095673
61,647846.764233476,4773009.74497224,9.89958470251,EFMO_InvPla_61,-91.183323,43.095393
62,648044.9375,4772982.75,9.90090021643,EFMO_InvPla_62,-91.180896,43.095111
64,644450.433119054,4773230.12713694,5.89468098260,EFMO_InvPla_64,-91.224978,43.098031
65,644648.974295717,4773217.95711905,7.44783749951,EFMO_InvPla_65,-91.222543,43.097884
66,644848.64885405,4773206.40306335,8.95672081088,EFMO_InvPla_66,-91.220094,43.097742
